[0.        +0.j 0.0005276 +0.j 0.00105517+0.j]
[-38.01680246+0.j -12.75016521+0.j]
         2499527 function calls (2476717 primitive calls) in 11.293 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:254(c_wchar_p)
        6    0.000    0.000    0.000    0.000 __init__.py:256(_logged_cached)
        1    0.000    0.000    0.000    0.000 __init__.py:259(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:27(classproperty)
        1    0.000    0.000    0.000    0.000 __init__.py:271(LogRecord)
       12    0.000    0.000    0.000    0.000 __init__.py:271(get_aliased_and_aliases)
       57    0.000    0.000    0.000    0.000 __init__.py:272(<genexpr>)
        1    0.000    0.000    0.003    0.003 __init__.py:274(load)
      105    0.000    0.000    0.000    0.000 __init__.py:275(wrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:290(ExecutableNotFoundError)
        1    0.000    0.000    0.000    0.000 __init__.py:291(<listcomp>)
        1    0.001    0.001    0.001    0.001 __init__.py:299(_sanity_check)
        2    0.000    0.000    0.002    0.001 __init__.py:299(loads)
        1    0.000    0.000    0.000    0.000 __init__.py:319(CDLL)
        1    0.000    0.000    0.008    0.008 __init__.py:325(_mac_os_check)
        1    0.000    0.000    0.000    0.000 __init__.py:327(<listcomp>)
       39    0.001    0.000    0.004    0.000 __init__.py:328(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:33(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:330(<listcomp>)
 3627/861    0.001    0.000    0.001    0.000 __init__.py:337(recursive_subclasses)
        1    0.000    0.000    0.000    0.000 __init__.py:339(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:340(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:342(silent_list)
        3    0.000    0.000    0.000    0.000 __init__.py:36(__deprecate_private_class)
        1    0.000    0.000    0.000    0.000 __init__.py:368(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:397(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:40(__sympy_debug)
      204    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:412(PercentStyle)
     2648    0.001    0.000    0.002    0.000 __init__.py:414(_strip_comment)
        5    0.000    0.000    0.000    0.000 __init__.py:419(__init__)
        5    0.000    0.000    0.000    0.000 __init__.py:426(validate)
        3    0.000    0.000    0.000    0.000 __init__.py:43(private_class)
        1    0.000    0.000    0.000    0.000 __init__.py:437(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:437(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:438(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:44(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:445(StrFormatStyle)
        2    0.000    0.000    0.000    0.000 __init__.py:478(_get_config_or_cache_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:479(StringTemplateStyle)
        3    0.000    0.000    0.000    0.000 __init__.py:501(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:502(CFunctionType)
        4    0.000    0.000    0.000    0.000 __init__.py:509(cast)
        1    0.000    0.000    0.000    0.000 __init__.py:510(get_configdir)
        1    0.000    0.000    0.000    0.000 __init__.py:522(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:529(get_cachedir)
        1    0.000    0.000    0.000    0.000 __init__.py:540(get_data_path)
        1    0.000    0.000    0.000    0.000 __init__.py:546(matplotlib_fname)
        1    0.000    0.000    0.000    0.000 __init__.py:553(_get_data_path)
        5    0.000    0.000    0.000    0.000 __init__.py:567(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:567(gen_candidates)
        1    0.000    0.000    0.000    0.000 __init__.py:584(maxdict)
        1    0.000    0.000    0.000    0.000 __init__.py:603(RcParams)
        1    0.000    0.000    0.000    0.000 __init__.py:605(Stack)
        1    0.000    0.000    0.000    0.000 __init__.py:61(ProjectionRegistry)
       32    0.000    0.000    0.000    0.000 __init__.py:625(__init__)
      965    0.001    0.000    0.010    0.000 __init__.py:628(__setitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:64(__init__)
       11    0.000    0.000    0.000    0.000 __init__.py:65(check_isinstance)
      464    0.000    0.000    0.000    0.000 __init__.py:658(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:67(register)
        1    0.000    0.000    0.000    0.000 __init__.py:681(_get_backend_or_none)
      310    0.000    0.000    0.000    0.000 __init__.py:698(__iter__)
        1    0.000    0.000    0.000    0.000 __init__.py:702(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:722(copy)
